time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557194870.508,,,,False,1015.4319763183594,426.3085627555847,2.4034881591796875,True,Fixation
557194887.212,,,,False,955.605354309082,392.36531496047974,2.5472564697265625,True,
557194903.882,,,,False,964.9428176879883,419.0633797645569,2.516754150390625,True,
557194920.372,,,,False,973.2704544067383,420.11613607406616,2.4891815185546875,True,
557194937.062,,,,False,964.8256301879883,393.31700563430786,2.5730743408203125,True,
557194953.731,,,,False,972.1540832519531,408.98159980773926,2.5069122314453125,True,
557194970.398,,,,False,970.3836822509766,393.0408453941345,2.5782012939453125,True,
557194987.042,,,,False,977.4417114257812,430.03305673599243,2.4473876953125,True,
557195003.68,,,,False,987.7996444702148,383.1657028198242,2.4799041748046875,True,
557195020.318,,,,False,,,,False,
557195036.962,,,,False,,,,False,
557195053.622,,,,False,,,,False,
557195070.285,,,,False,,,,False,
557195086.949,,,,False,,,,False,
557195103.59,,,,False,,,,False,
557195120.26,,,,False,,,,False,
557195136.99,,,,False,,,,False,
557195154.158,,,,False,,,,False,
557195171.633,,,,False,,,,False,
557195188.786,,,,False,,,,False,
557195206.212,,,,False,,,,False,
557195223.623,,,,False,,,,False,
557195241.033,,,,False,,,,False,
557195258.785,,,,False,,,,False,
557195275.534,,,,False,,,,False,
557195292.974,988.7454986572266,508.72488498687744,2.06024169921875,True,980.8915328979492,428.84260654449463,2.5552215576171875,True,
557195309.584,,,,False,,,,False,
557195327.03,,,,False,962.9054260253906,394.70385789871216,2.6639862060546875,True,
557195343.477,,,,False,,,,False,
557195360.92,979.1800689697266,427.5835990905762,2.114593505859375,True,981.7509841918945,400.53199768066406,2.642059326171875,True,
557195377.794,,,,False,,,,False,
557195395.253,991.1496734619141,388.4550404548645,2.215362548828125,True,990.1398468017578,386.5565514564514,2.532470703125,True,
557195412.163,,,,False,,,,False,
557195429.933,946.9877243041992,344.01963472366333,2.3268585205078125,True,1003.8985061645508,417.7087140083313,2.52606201171875,True,
557195446.477,966.0037994384766,349.351007938385,2.2978515625,True,991.7622756958008,399.02116298675537,2.56622314453125,True,
557195463.147,,,,False,,,,False,
557195479.894,,,,False,984.5704650878906,398.13642024993896,2.5976409912109375,True,
557195496.49,,,,False,,,,False,
557195513.149,,,,False,971.5085220336914,369.3170714378357,2.618499755859375,True,
557195529.84,958.2754325866699,389.5895504951477,2.270538330078125,True,,,,False,
557195546.53,954.0024948120117,384.16380643844604,2.2752227783203125,True,973.9660263061523,415.65849781036377,2.594573974609375,True,
557195563.166,972.7690887451172,386.6421675682068,2.2422332763671875,True,945.6356620788574,422.1663522720337,2.5379791259765625,True,
557195579.826,956.9043731689453,387.5493121147156,2.2453460693359375,True,979.4170761108398,423.31380128860474,2.59375,True,
557195596.505,953.2271003723145,384.04722690582275,2.204010009765625,True,977.98095703125,450.02506256103516,2.524658203125,True,Circle
557195613.163,939.1549301147461,409.8792815208435,2.2305145263671875,True,960.0299835205078,401.88936710357666,2.6021881103515625,True,
557195629.833,967.0286178588867,433.22080850601196,2.04205322265625,True,969.2665100097656,399.8005270957947,2.6004638671875,True,
557195646.492,931.5384292602539,390.37342071533203,2.17254638671875,True,969.0083312988281,405.4803514480591,2.5465087890625,True,
557195663.169,966.2612915039062,427.7116370201111,2.0332794189453125,True,967.009391784668,430.98674297332764,2.5556488037109375,True,
557195679.927,940.4547500610352,404.923460483551,2.2310638427734375,True,974.0682220458984,440.35945415496826,2.6112213134765625,True,
557195696.506,948.1673240661621,399.466495513916,2.13427734375,True,953.6516761779785,486.66727781295776,2.7629547119140625,True,
557195713.171,950.2145004272461,416.3023567199707,2.1305999755859375,True,972.4351501464844,414.6312975883484,2.544769287109375,True,
557195729.846,991.1684417724609,429.3051266670227,1.9893798828125,True,983.001594543457,426.8709897994995,2.425537109375,True,
557195746.508,988.3343124389648,450.863778591156,1.93267822265625,True,960.2262496948242,424.0909767150879,2.459320068359375,True,
557195763.168,956.8387413024902,428.59979152679443,2.0882720947265625,True,978.4635543823242,425.12744665145874,2.486358642578125,True,
557195779.845,938.1184387207031,392.83607482910156,2.1360626220703125,True,977.2765731811523,445.01484632492065,2.3917236328125,True,
557195796.5,959.4510269165039,391.1270999908447,2.2021942138671875,True,961.5592575073242,374.68867778778076,2.564697265625,True,
557195813.181,958.2174110412598,385.03406524658203,2.19268798828125,True,980.2555847167969,413.7140464782715,2.4187469482421875,True,
557195829.846,926.3875007629395,385.5205965042114,2.1498565673828125,True,980.0333404541016,427.168972492218,2.4430999755859375,True,
557195846.521,961.5942764282227,405.8904719352722,2.08746337890625,True,977.5814437866211,438.0607581138611,2.4371337890625,True,
557195863.182,,,,False,977.1170425415039,420.3020453453064,2.5669708251953125,True,
557195879.998,938.6073875427246,393.6453080177307,2.17327880859375,True,974.6287536621094,433.26722145080566,2.474151611328125,True,
557195896.517,1008.0157470703125,493.50491523742676,1.946685791015625,True,990.9149551391602,457.49407052993774,2.4831695556640625,True,
557195913.182,980.2483749389648,422.16281175613403,2.082000732421875,True,967.4986267089844,418.6491394042969,2.56341552734375,True,
557195929.933,,,,False,990.4789352416992,449.26185607910156,2.424591064453125,True,
557195946.6,,,,False,980.9420013427734,424.66228723526,2.493743896484375,True,
557195963.262,,,,False,981.1346054077148,408.0432343482971,2.4559478759765625,True,
557195979.925,,,,False,963.8508224487305,415.1642417907715,2.564971923828125,True,
557195996.598,,,,False,981.0665130615234,409.44000005722046,2.475860595703125,True,
557196013.263,,,,False,980.5842590332031,413.43576192855835,2.48077392578125,True,
557196029.931,,,,False,994.2140579223633,448.9326524734497,2.5037841796875,True,
557196046.593,,,,False,987.2514724731445,394.4932293891907,2.5500030517578125,True,
557196063.266,951.9024467468262,395.54566383361816,2.217742919921875,True,1001.3528823852539,402.8769779205322,2.440704345703125,True,
557196079.937,967.880859375,385.33320665359497,2.193115234375,True,982.6532363891602,411.3095211982727,2.5183868408203125,True,
557196096.6,957.3465728759766,366.9337248802185,2.3080902099609375,True,987.4959182739258,410.5771493911743,2.5328826904296875,True,
557196113.27,960.9791564941406,373.3746314048767,2.2209320068359375,True,999.5724105834961,408.7722587585449,2.4589691162109375,True,
